Structure Name,CIF ( XRD ref if no CIF),local structure,type,Q^n,1st coord neighbors,1st coord number,2nd coord neighbors,2nd coord number,Chemical Formula,Static/MAS,site_index,diso (ppm),etaQ,CQ (MHz),VASP diso (ppm) (Absolute),VASP etaQ,VASP CQ (MHz),CASTEP diso (absolute),CASEP diso (refed),CASTEP etaQ,CASTEP CQ (MHz),liq ref,NMR Sequence,Field,Reference(s),year of publish,First Authors,Bravais Lattice type,Space Group,Notes,,,,,
"Y, Al-garnet",https://materialsproject.org/materials/mp-3050/#,,,,"O,O,O,O,O,O",[6],,,Y3Al5O12,,24,,0,0.63,209.5128266,0,0.719,552.62,0.576497028,0,0.7643,,,,https://doi.org/10.1016/0031-9163(66)90353-2,1966,K.C. Brog,Cubic,Ia3(bar)d,,,,,,
"Y, Al-garnet",https://materialsproject.org/materials/mp-3050/#,,,,"O,O,O,O",[4],,,Y3Al5O12,,12,,0,6.02,280.154525,0,6.117,482.18,75.60365763,0,6.645,,,,https://doi.org/10.1016/0031-9163(66)90353-2,966,K.C. Brog,Cubic,Ia3(bar)d,,,,,,
Chrysoberyl,https://materialsproject.org/materials/mp-3081/,,,,"O,O,O,O,O,O",[6],,,BeAl2O4,,8,,0.94,2.85,223.796,0.9223,-2.5612,545.04,8.650118228,0.9,-2.733,,,,https://doi.org/10.1063/1.1744140,1958,J.H. Hockenberry,,,,,,,,
Chrysoberyl,https://materialsproject.org/materials/mp-3081/,,,,"O,O,O,O,O,O",[6],,,BeAl2O4,,4,,0.76,2.85,232.0714,0.9061,-3.3679,536.26,18.00188527,0.88,-3.702,,,,https://doi.org/10.1063/1.1744140,1958,J.H. Hockenberry,,,,,,,,
Kaolinite,https://materialsproject.org/materials/mp-541152/#,,,,"O,O,O,O,O,O",[6],,,Al4Si4O10(OH)8,,1,4,,,221.0138,0.69,-3.5156,546.43,7.169599301,0.83,-3.927,,,,"American Mineralogist, Volume 70, pages 537-548, 1985",1985,R.A. Kinsey,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrope,https://materialsproject.org/materials/mp-6073/,,,,"O,O,O,O,O,O",[6],,,Mg3Al2(SiO4)3,,12,2.9,0.5,1,215.7362,0,0.7078,553.39,-0.24364655,0,0.6992,,,,https://doi.org/10.2138/am.2007.2284,2007,K.E. Kelsey,,,,,,,,
Grossular,https://materialsproject.org/materials/mp-6008/,,,,"O,O,O,O,O,O",[6],,,Ca3Al2(SiO4)3,,12,-3.35,0.2,3.7,210.4179,0,2.7461,558.78,-5.984651599,0,2.808,,,,https://doi.org/10.2138/am.2007.2284,2007,K.E. Kelsey,,,,,,,,
(CaO)12(Al2O3)7,https://materialsproject.org/materials/mp-532016/,,,,"O,O,O,O",[4],,,Ca12Al14O33,,13,85,0.2,11,279.7645,0.1742,-10.3524,484.65,72.97280745,0.2,-11.26,,,,10.1016/S0277-5387(00)84437-X,1985,D. Müller,Trigonal/Triclinic,,2 separate tetrahedral sites,,,,,
(CaO)12(Al2O3)7,https://materialsproject.org/materials/mp-532016/,,,,"O,O,O,O",[4],,,Ca12Al14O33,,16,79,0.9,3.7,280.5229,0.368,-4.378,482.27,75.50779669,0.4,-4.444,,,,10.1016/S0277-5387(00)84437-X,1985,D. Müller,Trigonal/Triclinic,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andalusite,https://materialsproject.org/materials/mp-4753/#,,,,"O,O,O,O,O",[5],,,Al2SiO5,MAS,4,,0.7,5.9,244.9404,0.6705,4.5394,523.46,31.63544085,0.64,4.822,,90acq,11.7T,https://doi.org/10.1063/1.1672904,1970,S.S. Hafner,Orthorhombic,Pnnm,dISO after 2nd order correction,,,,,
Andalusite,https://materialsproject.org/materials/mp-4753/#,,,,"O,O,O,O,O,O",[6],,,Al2SiO5,MAS,0,,0.08,15.6,223.3319,0.1704,14.9328,547.04,6.519875168,0.17,15.58,,90acq,11.7T,https://doi.org/10.1063/1.1672904,1970,S.S. Hafner,Orthorhombic,Pnnm,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaO (Al2O3)2,http://www.crystallography.net/cod/1527948.html,,,,,,,,CaO (Al2O3)2,,2,75.5,0.88,5.25,281.561,0.8655,5.7544,480.95,76.91375711,0.9,6.044,,,,10.1016/S0277-5387(00)84437-X,1986,D. Müller,Cubic,,NEEDS 2ND SITE VALUES,,,,,
CaO (Al2O3)2,http://www.crystallography.net/cod/1527948.html,,,,,,,,CaO (Al2O3)2,,6,69.5,0.82,9.55,277.09746,0.8232,-8.7225,486.46,71.04493748,0.83,-9.482,,,,10.1016/S0277-5387(00)84437-X,1986,D. Müller,Cubic,,NEEDS 2ND SITE VALUES,,,,,
(CaO)(Al2O3),https://materialsproject.org/materials/mp-2963/,,,,,,,,(CaO)(Al2O3),,12,81.9,0.85,2.7,287.3539,0.7667,2.2697,476.87,81.25945295,0.76,2.4,,,,10.1016/S0277-5387(00)84437-X,1986,D. Müller,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(CaO)4(Al2O3)3,http://crystallography.net/cod/1527947.html,,,,"O,O,O,O",[4],,,Ca4Al6O13,,8,80.3,0.95,2.4,295.4105,0,4.4068,471.42,86.96850436,0,5.951,,,,10.1016/S0277-5387(00)84437-X,1986,Muller,Cubic,I-43m,"CIF looks shitty, doesn't create bonds immediately in MAtStud",,,,,
α-Al2O3,https://materialsproject.org/materials/mp-1143/,,,,,[6],,,Al2O3,,0,16,0,2.38,229.7111,0.0003,2.0715,536.66,17.57583665,0,2.283,,,,10.1021/jp810484j,2009,M. Choi,Trigonal,R3(bar)m,,,,,,
θ-Al2O3,icsd-82504,,,,,[4],,,Al2O3,,0,80,0.65,6.4,,,,472.78,85.61580001,0.49,6.398,,,,10.1021/jp810484j,2009,M. Choi,,,,,,,,
θ-Al2O3,icsd-82504,,,,,[6],,,Al2O3,,2,10.5,0,3.5,,,,541.74,12.16501928,0.08,3.518,,,,10.1021/jp810484j,2009,M. Choi,,,,,,,,
α-LiAlO2,https://materialsproject.org/materials/mp-8001/,,,,,[6],,,LiAlO2,,1,17,0.05,2.8,232.7759,7.80E-05,2.7716,532.73,21.76176427,0,3.007,,,,10.1016/S0277-5387(00)84356-9,1983,D Müller,Trigonal,R3(bar)m,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
γ-LiAlO2,https://materialsproject.org/materials/mp-3427/,,,,,[4],,,LiAlO2,,4,82,0.7,3.2,287.7232,0.7178,3.3316,471.25,87.24543595,0.7,3.742,,,,10.1016/S0277-5387(00)84356-9,1983,D Müller,Tetragonal,P4_12_12,,,,,,
Sillimanite,https://materialsproject.org/materials/mp-4934/,,,,,[4],,,Al2SiO5,,4,63.9,0.51,6.74,270.1734,0.5283,-6.0927,490.57,66.66728799,0.58,-6.346,,,,10.1006/jmra.1996.0202,1996,D. Massiot,Orthorhombic,Pnma,,,,,,
Sillimanite,https://materialsproject.org/materials/mp-4934/,,,,,[6],,,Al2SiO5,,0,4.7,0.49,8.83,218.1899,0.6169,-8.718,547.17,6.381409369,0.48,-8.559,,,,10.1006/jmra.1996.0202,1996,D. Massiot,Orthorhombic,Pnma,,,,,,
Andalusite,https://materialsproject.org/materials/mp-4753/#,,,,,[5],,,Al2SiO5,,4,35.5,0.69,5.8,244.9404,0.6705,4.5394,523.46,31.63544085,0.64,4.822,,,,10.1039/A806939E,1998,J. Rocha,Orthorhombic,Pnnm,,,,,,
Andalusite,https://materialsproject.org/materials/mp-4753/#,,,,,[6],,,Al2SiO5,,0,13,0.08,15.3,223.3319,0.1704,14.9328,547.04,6.519875168,0.17,15.58,,,,10.1039/A806939E,1998,J. Rocha,Orthorhombic,Pnnm,,,,,,
Kyanite,https://materialsproject.org/materials/mp-5065/,,,,,[6],,,Al2SiO5,,6,14.9,0.27,10.1,224.8889,0.3047,9.9785,540.84,13.12362866,0.33,10.3,,,,10.1016/0009-2614(94)00061-1,1994,M.E. Smith,Triclinic,P1(bar),,,,,,
Kyanite,https://materialsproject.org/materials/mp-5065/,,,,,[6],,,Al2SiO5,,0,4,0.85,3.6,217.4971,0.9687,3.7864,548.35,5.124565963,0.93,4.031,,,,10.1016/0009-2614(94)00061-1,1994,M.E. Smith,Triclinic,P1(bar),,,,,,
Kyanite,https://materialsproject.org/materials/mp-5065/,,,,,[6],,,Al2SiO5,,4,7.7,0.59,6.6,220.5236,0.4635,-7.0219,545.57,8.085603817,0.44,-6.775,,,,10.1016/0009-2614(94)00061-1,1994,M.E. Smith,Triclinic,P1(bar),,,,,,
Kyanite,https://materialsproject.org/materials/mp-5065/,,,,,[6],,,Al2SiO5,,2,11,0.38,9.2,224.1088,0.3187,-9.8609,541.65,12.26088022,0.33,-9.695,,,,10.1016/0009-2614(94)00061-1,1994,M.E. Smith,Triclinic,P1(bar),,,,,,
,,,,,,,,,,,,,,,,,,,589.1839571,,,,,,,,,,,,,,,,
YAlO3,https://materialsproject.org/materials/mp-3792/,,,,,[6],,,YAlO3 ,,4,10.7,,,220.0739,0.9263,1.6645,543.42,10.37561511,0.99,1.814,,,,10.1021/jp0008851,2000,P. Florian,Orthorhombic,Pnma,,,,,,
AlVO4,https://materialsproject.org/materials/mp-18827,,,,,[6],,,AlVO4,,2,-8.9,0.3,1.64,199.5925,0.6143,1.02277,569.97,-17.90336152,0.99,-1.015,,,,10.1021/ic025785j,2002,U.G. Nielsen,Triclinic,P1(bar),,,,,,
AlVO4,https://materialsproject.org/materials/mp-18827,,,,,[5],,,AlVO4,,4,27.2,0.42,6.73,232.4288,0.6964,6.3869,534.71,19.65282364,0.74,6.499,,,,10.1021/ic025785j,2002,U.G. Nielsen,Triclinic,P1(bar),,,,,,
AlVO4,https://materialsproject.org/materials/mp-18827,,,,,[6],,,AlVO4,,1,-1.1,0.58,5.88,205.3205,0.4567,-4.7028,562.26,-9.691274524,0.52,-5.596,,,,10.1021/ic025785j,2002,U.G. Nielsen,Triclinic,P1(bar),,,,,,
Gibbsite,https://materialsproject.org/materials/mp-27540/#,,,,,[6],,,Al(OH)3,,0,8,,,226.071,0.8545,2.1973,542.51,11.3448757,0.63,2.341,,,,"American Mineralogist, Volume 70, pages 537-548, 1985",1985,R.A. Kinsey,Monoclinic,P2_1/c,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscovite,https://materialsproject.org/materials/mp-1200795/#,,,,,[6],,,KAl3Si3(HO6)2,,8,4,,,221.8225,0.9554,2.9853,546.39,7.212204162,0.86,3.122,,,,"American Mineralogist, Volume 70, pages 537-548, 1985",1985,R.A. Kinsey,Monoclinic,P2/c,,,,,,
Moscovite,https://materialsproject.org/materials/mp-1200795/#,,,,,[4],,,KAl3Si3(HO6)2,,4,72,,,279.732,0.5841,2.8671,485.01,72.5893637,0.59,3.022,,,,"American Mineralogist, Volume 70, pages 537-548, 1985",1985,R.A. Kinsey,Monoclinic,P2/c,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margarite,https://materialsproject.org/materials/mp-24469/,,,,"O,O,O,O",4,,,CaAl2(Al2Si2)O10(OH)2,MAS,2,74,,,282.9969,0.422,-5.565,478.08,79.9706559,0.46,-6.072,,,,"American Mineralogist, Volume 70, pages 537-548, 1985",1985,R.A. Kinsey,Monoclinic,Cc,,,,,Ca2Al2Si3O10(OH)2,
Margarite,https://materialsproject.org/materials/mp-24469/,,,,"O,O,O,O,O,O",6,,,CaAl2(Al2Si2)O10(OH)2,MAS,4,2,,,223.19,0.109,-7.17,540.39,13.60293334,0.13,-7.736,,,,"American Mineralogist, Volume 70, pages 537-548, 1985",1985,R.A. Kinsey,Monoclinic,Cc,,,,,LiAlO2,
Margarite,https://materialsproject.org/materials/mp-24469/,,,,"O,O,O,O,O,O",6,,,CaAl2(Al2Si2)O10(OH)2,MAS,7,-10,,,220.9751,0.138,6.559,542.93,10.89752466,0.14,6.595,,,,"American Mineralogist, Volume 70, pages 537-548, 1985",1985,R.A. Kinsey,Monoclinic,Cc,,,,,LiAlO2,
