Structure Name,CIF ( XRD ref if no CIF),local structure,type,Q^n,1st coord neighbors,1st coord number,2nd coord neighbors,2nd coord number,Chemical Formula,Static/MAS,site_index,diso (ppm),etaQ,CQ (MHz),VASP diso (ppm) (Absolute),VASP etaQ,VASP CQ (MHz),CASTEP diso (absolute),CASEP diso (refed),CASTEP etaQ,CASTEP CQ (MHz),liq ref,NMR Sequence,Field,Reference(s),year of publish,First Authors,Bravais Lattice type,Space Group,Notes,,,,,
CaO Al2O3,https://materialsproject.org/materials/mp-2963/,,,,O,4,,,CaO Al2O3,MAS,12,83.8,0.75,2.6,287.2786,0.767,2.2729,476.87,81.25945295,0.76,2.4,,,,10.1021/ic00058a043,1993,J. Skibsted,Monoclinic,P2_1/c,No clearly resolved ,,,,Na3•AlF6,
CaO Al2O3,https://materialsproject.org/materials/mp-2963/,,,,O,4,,,CaO Al2O3,MAS,32,86.2,0.95,2.6,287.5237,0.786,-2.2508,476.66,81.48312847,0.76,-2.411,,,,10.1021/ic00058a043,1993,J. Skibsted,Monoclinic,P2_1/c,No clearly resolved ,,,,Na5Al3F14,
CaO Al2O3,https://materialsproject.org/materials/mp-2963/,,,,O,4,,,CaO Al2O3,MAS,16,82.7,0.53,3.32,284.9211,0.508,-3.0677,479.43,78.53274184,0.5,-3.278,,,,10.1021/ic00058a043,1993,J. Skibsted,Monoclinic,P2_1/c,No clearly resolved ,,,,NaAlSi3O8,
CaO Al2O3,https://materialsproject.org/materials/mp-2963/,,,,O,4,,,CaO Al2O3,MAS,20,81.6,0.39,3.37,286.3734,0.3815,-3.3903,477.82,80.2475875,0.36,-3.665,,,,10.1021/ic00058a043,1993,J. Skibsted,Monoclinic,P2_1/c,No clearly resolved ,,,,Y3Al5O12,
CaO Al2O3,https://materialsproject.org/materials/mp-2963/,,,,O,4,,,CaO Al2O3,MAS,24,81.2,0.47,4.3,287.7582,0.4004,3.7988,476.35,81.81331615,0.39,3.927,,,,10.1021/ic00058a043,1993,J. Skibsted,Monoclinic,P2_1/c,No clearly resolved ,,,,ZnAl2O4,
(CaO)12 (Al2O3)7,https://materialsproject.org/materials/mp-530149/,,,,O,4,,,(CaO)12 (Al2O3)7,MAS,12,85.9,0.4,9.7,280.8078,0.6343,-8.0648,478.76,79.24637326,0.65,-8.723,,,,10.1021/ic00058a043,1993,J. Skibsted,Tetragonal,I4(bar),,,,,Mg3Al2(SiO4)3,
(CaO)12 (Al2O3)7,https://materialsproject.org/materials/mp-530149/,,,,O,4,,,(CaO)12 (Al2O3)7,MAS,20,80.2,0.7,3.8,280.7313,0.3656,-4.1825,478.57,79.44874635,0.35,-5.092,,,,10.1021/ic00058a043,1993,J. Skibsted,Tetragonal,I4(bar),,,,,Ca12Al14O33,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
